summary,config,name
"{'_runtime': 526, '_step': 0, '_timestamp': 1767269896.7276232, '_wandb': {'runtime': 526}, 'final_mean': 481.62857142857143, 'final_sd': 13.4272339759497}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 503, 'batch_size': 128, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0409
"{'_runtime': 1061, '_step': 0, '_timestamp': 1767270797.2920115, '_wandb': {'runtime': 1061}, 'final_mean': 178.47142857142856, 'final_sd': 12.616000530586351}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 504, 'batch_size': 128, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0415
"{'_runtime': 808, '_step': 0, '_timestamp': 1767270731.750724, '_wandb': {'runtime': 808}, 'final_mean': 90.67142857142858, 'final_sd': 176.748305421545}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 505, 'batch_size': 128, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0418
"{'_runtime': 495, '_step': 0, '_timestamp': 1767271263.7711582, '_wandb': {'runtime': 495}, 'final_mean': 241.74285714285713, 'final_sd': 96.16573279118349}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 506, 'batch_size': 128, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0432
"{'_runtime': 727, '_step': 0, '_timestamp': 1767271543.8950744, '_wandb': {'runtime': 727}, 'final_mean': 367.9714285714286, 'final_sd': 110.06491220166023}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 507, 'batch_size': 128, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0433
"{'_runtime': 1391, '_step': 0, '_timestamp': 1767272706.6995523, '_wandb': {'runtime': 1391}, 'final_mean': 376.98571428571427, 'final_sd': 40.328115983461345}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 508, 'batch_size': 128, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0441
"{'_runtime': 884, '_step': 0, '_timestamp': 1767272518.3159966, '_wandb': {'runtime': 884}, 'final_mean': 500, 'final_sd': 0}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 509, 'batch_size': 128, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0447
"{'_runtime': 700, '_step': 0, '_timestamp': 1767273239.7205026, '_wandb': {'runtime': 700}, 'final_mean': 258.84285714285716, 'final_sd': 57.627036242743294}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 510, 'batch_size': 128, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0502
"{'_runtime': 877, '_step': 0, '_timestamp': 1767273602.6753075, '_wandb': {'runtime': 877}, 'final_mean': 489.3571428571428, 'final_sd': 23.512936083469164}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 511, 'batch_size': 128, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0505
"{'_runtime': 885, '_step': 0, '_timestamp': 1767274149.4686506, '_wandb': {'runtime': 885}, 'final_mean': 499.92857142857144, 'final_sd': 0.5933302759227197}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 512, 'batch_size': 128, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0514
"{'_runtime': 481, '_step': 0, '_timestamp': 1767274115.695725, '_wandb': {'runtime': 481}, 'final_mean': 310.62857142857143, 'final_sd': 116.45405856002633}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 513, 'batch_size': 128, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0520
"{'_runtime': 891, '_step': 0, '_timestamp': 1767275097.739817, '_wandb': {'runtime': 891}, 'final_mean': 283.57142857142856, 'final_sd': 7.847786637137941}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 514, 'batch_size': 128, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0530
"{'_runtime': 515, '_step': 0, '_timestamp': 1767274766.7138486, '_wandb': {'runtime': 515}, 'final_mean': 182.87142857142857, 'final_sd': 32.996502597600696}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 515, 'batch_size': 128, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0530
"{'_runtime': 532, '_step': 0, '_timestamp': 1767275321.902156, '_wandb': {'runtime': 532}, 'final_mean': 227.75714285714287, 'final_sd': 54.561743718021155}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 516, 'batch_size': 128, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0539
"{'_runtime': 547, '_step': 0, '_timestamp': 1767275672.7418294, '_wandb': {'runtime': 547}, 'final_mean': 335.4142857142857, 'final_sd': 16.66604148487307}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 517, 'batch_size': 128, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0545
"{'_runtime': 1077, '_step': 0, '_timestamp': 1767276428.62511, '_wandb': {'runtime': 1077}, 'final_mean': 500, 'final_sd': 0}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 518, 'batch_size': 128, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0549
"{'_runtime': 414, '_step': 0, '_timestamp': 1767276112.2029476, '_wandb': {'runtime': 414}, 'final_mean': 29.82857142857143, 'final_sd': 15.930179291046851}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 519, 'batch_size': 128, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0554
"{'_runtime': 857, '_step': 0, '_timestamp': 1767276996.8684213, '_wandb': {'runtime': 857}, 'final_mean': 64.6, 'final_sd': 37.41634478597365}","{'agent': {'tau': 0.015, 'name': 'Step4_DQNAgent', 'gamma': 0.979669671, 'epsilon_min': 0.01, 'epsilon_decay': 0.975, 'epsilon_start': 1, 'learning_rate': 0.00075}, 'memory': {'capacity': 40000}, 'network': {'type': 'MLP'}, 'training': {'main_seed': 520, 'batch_size': 128, 'num_episodes': 500, 'initial_collect_size': 1000}, 'evaluator': {'n_eval': 70}, 'environment': {'name': 'CartPole-v1', 'render_mode': None, 'max_episode_steps': 500}}",Step4_DQNAgent-20260102-0602
